"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2024";"12 - Educação";"301 - Atenção básica";"0,00";"0,00";"0,00";"41.063,23";
"01/2024";"12 - Educação";"123 - Administração financeira";"4.000.000,00";"0,00";"0,00";"20.564.892,96";
"01/2024";"12 - Educação";"571 - Desenvolvimento científico";"0,00";"0,00";"0,00";"193.459.001,15";
"01/2024";"12 - Educação";"131 - Comunicação social";"375.000,00";"0,00";"0,00";"1.476.018,04";
"01/2024";"12 - Educação";"694 - Serviços financeiros";"3.225.494.122,00";"337.568.714,77";"3.751.418,52";"165.681.426,40";
"01/2024";"12 - Educação";"573 - Difusão do conhecimento científico e tecnológico";"30.000,00";"1.355,13";"451,71";"2.501.924,72";
"01/2024";"12 - Educação";"365 - Educação infantil";"0,00";"0,00";"0,00";"2.701.781,84";
"01/2024";"12 - Educação";"366 - Educação de jovens e adultos";"0,00";"0,00";"0,00";"694.119,11";
"01/2024";"12 - Educação";"847 - Transferências para a educação básica";"42.342.547.120,44";"2.294.562.269,51";"2.294.562.269,51";"6.327.018.555,62";
"01/2024";"12 - Educação";"367 - Educação especial";"3.764.034,72";"105.211,55";"4.230,50";"2.835.254,60";
"01/2024";"12 - Educação";"368 - Educação básica";"329.213.798,77";"37.484.099,72";"7.962.589,32";"259.463.647,63";
"01/2024";"12 - Educação";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"1.718.324,12";
"01/2024";"12 - Educação";"128 - Formação de recursos humanos";"1.216.935,89";"308.756,90";"39.267,40";"3.042.856,55";
"01/2024";"12 - Educação";"331 - Proteção e benefícios ao trabalhador";"2.785.336.886,36";"296.141.335,89";"31.162.335,93";"273.067.971,92";
"01/2024";"12 - Educação";"122 - Administração geral";"488.442.261,11";"53.332.004,50";"9.369.469,05";"153.408.022,27";
"01/2024";"12 - Educação";"363 - Ensino profissional";"8.857.283.168,08";"975.545.600,07";"106.273.930,52";"1.591.519.744,21";
"01/2024";"12 - Educação";"846 - Outros encargos especiais";"7.301.018.093,56";"663.557.810,17";"639.833.780,23";"20.375.878,09";
"01/2024";"12 - Educação";"302 - Assistência hospitalar e ambulatorial";"10.009.047.192,47";"814.663.410,12";"40.590.002,48";"1.179.581.718,57";
"01/2024";"12 - Educação";"364 - Ensino superior";"22.866.610.996,36";"2.538.197.088,72";"325.414.565,50";"3.291.547.596,34";
"02/2024";"12 - Educação";"123 - Administração financeira";"37.500.000,00";"4.337.505,25";"4.337.505,25";"29.792.090,99";
"02/2024";"12 - Educação";"131 - Comunicação social";"135.000,00";"0,00";"0,00";"806.848,23";
